x	y	name	linkId
800244.35935017	5831037.68100358	Prenzlauer	30134389#0
801063.753953937	5830526.60304137	Greifswalder	724607626#0
802257.101693885	5829216.29900539	Landsberger	28299346#0
802685.158792228	5828793.65718825	Storkower	39352164#2
803652.375183141	5827550.87469243	Frankfurter	1083602339
803423.083216846	5826197.14020245	Ostkreuz	626979659
802674.450071125	5825123.64346246	Treptower	988154927
802653.969136658	5822984.85821833	Sonnenallee	964618343
801698.535017269	5822442.12124696	Neukoelln	-1002247009
800917.431257339	5822241.79538625	Hermann	860638039#0
797794.817481248	5822286.18968272	Tempelhof	938849667#2
796287.563921369	5823018.82213664	Suedkreuz	25151775#0
795653.502432585	5823276.17240724	Schoeneberg	605699210
794845.852133743	5823111.55438667	Innsbrucker	540175256
793991.523496442	5823012.38101343	Bundesplatz	38344546
792675.910873038	5823112.75716145	Heidelberger	85129365#0
791869.726002985	5823890.40380489	Hohenzollerndamm	318552377
791265.558705183	5824719.85682939	Halensee	-533537959#2
790652.850230076	5825427.25322882	Westkreuz	-379986565
790429.323622829	5826033.37230971	Westkreuz/ZOB	35584124#1
790484.809468856	5827383.55437107	Westend	41081451
791415.290562827	5828703.64259912	Jungfernheide	593851931
793282.180530753	5829385.66298005	Beusselstrasse	23213546#0
794544.180248755	5829773.58135516	Westhafen	240526024#0
796165.119199222	5830285.03772486	Wedding	25217949#0
797645.816028259	5831249.28868109	Gesundbrunnen	4603464#0
799429.370961514	5831303.26983335	Schoenhauser	-8039003#2
