link;x;y;drtVehicles
-4685952#2;802529.3400000001;5826195.335000001;1
840977574#1;799633.73;5825183.390000001;1
-6182767#2;796858.445;5829718.26;2
-310177222#2;799500.71;5827888.0600000005;1
-4446720#0;791570.7350000001;5828146.3100000005;1
-120853583#3;799826.46;5830304.155;2
-861068542;801076.2849999999;5822714.375;2
-98850969;800628.115;5826040.51;1
-400740387#0;800112.55;5823360.18;3
-127538488;802872.8049999999;5826627.26;1
-687428747;794504.62;5825579.07;1
-66514471#2;800144.98;5825798.904999999;1
698150951;799467.515;5824524.869999999;2
-4449362#2;792993.19;5824213.32;1
-4615075;800326.5;5830170.0;1
-4583380;794607.8049999999;5824446.615;1
-4581765#0;794915.47;5828925.895;5
-25205078#7;794239.045;5823924.0649999995;1
627460043#0;793320.575;5826869.625;1
172425925#0;800595.375;5825707.18;1
-37776178;801351.605;5824758.529999999;1
-690322561;797534.24;5827683.465;1
-665241888;797738.185;5826945.26;1
728299830;796430.765;5826594.635;1
-1097989450;792784.665;5828107.83;3
-645054947;801628.5;5823321.115;1
1108013699;800661.37;5828296.0;4
823947560#0;791895.0700000001;5826110.11;1
-188866873#2;801373.0249999999;5826107.255;1
-66514425;800680.685;5826399.27;1
-27989797#0;801512.24;5824937.9399999995;1
-4410152;795886.55;5828390.720000001;5
-28281159;799342.075;5830197.38;1
-4631543;799651.74;5830404.140000001;1
-128636794;801915.725;5827912.109999999;1
-4615065#1;800557.29;5829497.52;2
-153372178;795007.06;5826510.82;1
-4615065#2;800495.12;5829397.1;1
154041918#0;796974.665;5827197.335;5
-4615065#0;800611.29;5829583.545;1
4591809;797881.865;5823868.125;2
-180442271;801452.425;5825282.58;1
-73310501#3;798183.7949999999;5828989.2;2
32489388#0;800446.815;5822492.13;1
-671026861#1;800173.56;5829004.279999999;1
-73310501#0;798059.745;5828931.28;2
819028431#0;800412.01;5829994.34;1
-1056629317;792632.65;5826268.07;1
1101819502;799497.15;5825498.890000001;3
1100784730#0;792329.6;5826116.895;1
-4383283#0;796902.3;5828795.720000001;4
1113400543#3;793310.74;5826704.34;1
-1101009908;794338.335;5828257.470000001;2
-1101405554#1;794715.11;5828650.46;3
-927044480#2;799262.365;5826085.38;2
-43115509#1;802304.4850000001;5828423.5;1
24677767#0;795645.2;5828206.005;1
-51069314;802393.3999999999;5827679.640000001;1
-1124627670#0;796726.6799999999;5826515.035;1
-4494959#2;793705.97;5824884.300000001;1
4612868;799736.0;5826211.824999999;1
-4615030#1;800406.815;5829911.875;3
-4535206#0;794114.9299999999;5823690.744999999;1
24214090#1;797258.81;5826319.195;1
-81113584#2;797856.71;5826851.050000001;1
527714921#0;796940.835;5827592.1;1
-106277650#5;802451.825;5826289.37;1
-4615030#0;800118.75;5830051.925000001;1
520627744#0;793278.405;5824604.92;2
155605339;800276.995;5823194.6899999995;1
508614988#1;795623.06;5823930.595;2
-42156202;799071.47;5830048.449999999;1
-975440489;802011.12;5825741.67;6
-4583363;794742.645;5824024.220000001;1
151571095#0;797689.465;5823936.52;1
-25121300;796288.8;5826019.24;2
172425903#0;800025.965;5825734.335;1
329869880#0;798416.37;5825256.465;1
-60333317#0;797023.4199999999;5828271.105;1
-1083729262;802615.365;5828119.18;1
-814840409#0;794057.0900000001;5824451.25;3
431664597#0;795888.205;5829550.755000001;1
270699937;800838.21;5827827.05;1
-172920329#2;798045.62;5829973.475;1
-370648471;799536.265;5826119.59;2
-28935244;801209.29;5828361.0649999995;2
-4612752#0;799040.69;5825825.35;1
754366713#0;794909.14;5824915.68;1
188491275#0;795018.905;5825943.39;1
-881155244#0;802016.235;5823708.84;2
-531912129;793809.04;5827282.3;1
-881155244#1;802191.1;5823584.415;1
-365020880#0;801127.415;5822516.66;1
-1024034686#0;799005.515;5828645.5600000005;1
-30829918;801143.245;5824951.4;1
-4615068;800704.105;5829718.43;2
335487071#0;796712.355;5826101.785;1
-4615067;800984.46;5829581.6850000005;1
-4610608;798640.8200000001;5827367.055;4
-1110388548#4;795917.0349999999;5826040.285;3
4615457#0;801566.19;5828837.615;1
-840875333#0;799784.6699999999;5824861.555;1
-610848017;792749.26;5826901.595000001;3
60333313;799066.525;5827604.244999999;1
-4540284#0;793709.28;5828408.43;1
-1107180834#1;795232.555;5825002.405;1
562077314#0;799199.185;5825623.455;1
-4540284#1;793694.965;5828246.95;2
-728132451;797301.51;5830466.635;7
-25042806;797524.395;5826662.585000001;1
-32674177;794725.505;5825084.42;1
-1105631679#3;794564.88;5825044.234999999;2
-4790825#2;799167.13;5828292.3100000005;1
-849599089#3;800617.515;5823129.34;1
52578335#0;793075.2050000001;5826936.005;1
-278014798#3;797642.16;5829229.665;1
-316749677#2;802931.55;5826904.615;1
-312645512#2;798488.75;5829079.57;1
-257430450;794761.4550000001;5827652.390000001;1
-176043804;797207.9099999999;5828705.705;2
37774389#0;800564.45;5825791.779999999;2
-66071383#11;798885.785;5826248.42;1
34059286#0;797976.185;5825495.984999999;2
-417687019#3;795261.745;5828784.54;1
-814842898#1;794403.005;5824262.71;2
865069698;802244.3200000001;5823322.41;1
-4603721#5;791795.495;5827968.6850000005;5
-71282503;795854.8300000001;5824088.92;1
-32880449#2;792510.22;5825064.515000001;3
172536702#0;793534.3300000001;5828513.415;1
-1094233981;800781.095;5830017.380000001;2
-52104495;796282.7949999999;5823057.27;3
139350149#0;800566.435;5825707.665;2
-169205656;802319.79;5824333.025;1
-1097482025;802342.26;5826834.955;1
-46138135;798408.915;5829209.325;2
777325761;801353.185;5823306.16;1
-1027369591#1;802195.675;5823416.17;1
310172798#0;802553.53;5827694.205;1
-919741394;793931.5249999999;5827291.895;1
-4686109#0;801289.095;5825725.4399999995;1
-4686109#1;801381.9099999999;5825913.98;1
-1101009910;794447.155;5828185.115;4
-1103300964#0;798672.9199999999;5828610.46;2
28658321#0;791122.6950000001;5827439.055;4
-25999940#0;795411.245;5826441.17;1
4526202#0;797754.19;5824078.625;1
1057528473#0;797418.565;5826138.154999999;1
-183216297;795651.25;5825269.515000001;1
-257432924#0;795646.7150000001;5827829.09;8
-4389452;791107.5249999999;5825219.24;1
-4410412#0;792678.185;5828806.785;2
-4410412#1;792832.775;5828864.18;2
-4436890#2;792254.38;5825774.575;2
19183061#0;792044.605;5828228.495;1
-679018417#0;791177.065;5825124.404999999;1
