link;x;y;drtVehicles
-458915637#0;795464.755;5817739.135;1
491114052;806412.095;5823000.945;2
-4446720#0;791570.7350000001;5828146.3100000005;1
-26184743;806149.785;5830285.025;1
-102486254#3;795598.5900000001;5819098.68;1
-23547511;797530.76;5839102.529999999;6
-23547510;797615.485;5840485.92;41
-5046433#1;786158.5449999999;5834601.51;1
-145661740#3;787401.54;5818753.91;1
-145661740#0;787570.595;5818326.255;2
-66514425;800680.685;5826399.27;1
-4536805#3;794076.42;5822188.765000001;1
-1050737336;806886.81;5824091.475;1
23983814;794151.15;5817444.015000001;1
-153947334;801742.0900000001;5829447.57;2
-4696061;807714.74;5831078.1899999995;5
-34297631;818912.675;5819068.08;3
4752744#0;785615.8300000001;5828020.115;1
-572456085#3;799231.815;5833355.005;1
-4631549;800043.7749999999;5830929.390000001;1
226972806;790375.4299999999;5825495.99;1
-10864676#2;805073.0549999999;5829101.529999999;3
-23381664#1;782986.885;5831609.26;1
-22617295;813756.745;5826298.1850000005;1
-28131589#2;792599.005;5821423.885;1
-32215238;804514.1599999999;5817280.035;1
-9562474;789923.335;5833242.4350000005;1
-7607393;808103.145;5829926.970000001;1
-23381664#0;783032.6399999999;5831804.45;3
-605887305;812859.78;5820169.205;2
-1079900449;812210.465;5830378.445;1
-19660028#3;793175.495;5817519.31;1
-147948799#1;803579.4750000001;5833376.529999999;1
-6145494;801262.125;5834206.035;1
-19660028#4;793224.455;5817349.225;1
-1123753469;803254.74;5828172.155;1
-9794170#2;808638.325;5828295.449999999;1
520627744#0;793278.405;5824604.92;1
-10303261;808215.4199999999;5830087.15;2
109804590#1;801042.135;5829304.84;1
-42156202;799071.47;5830048.449999999;1
-1093730522;805480.3500000001;5834600.095000001;1
-851979949#1;804559.58;5817307.89;1
-4583363;794742.645;5824024.220000001;1
-32036516;799755.245;5826114.984999999;1
-27944009#2;809452.76;5829700.29;1
329862814;790336.6699999999;5820537.585;2
-14477919;791063.2050000001;5817157.37;1
-16239275#0;802181.895;5837022.4350000005;1
-851979949#0;804288.5549999999;5817256.949999999;1
-4359660#0;796061.605;5816562.82;1
-9932079#2;784349.9850000001;5828419.630000001;1
-25117292#3;806032.9550000001;5820777.22;1
-43169790#1;810614.5249999999;5823703.745;1
-1111681719;813385.61;5828702.02;1
-9932079#0;784394.1499999999;5828624.275;1
-43169790#2;810707.4099999999;5823634.529999999;1
164927497#2;809545.03;5826965.385;1
-23044976;802775.315;5817960.16;1
-1111681713;813123.245;5828998.515;1
432205814#0;807669.29;5830224.05;1
-24215008;807477.935;5836161.78;2
-4791974#3;796226.75;5818306.35;1
-1115122395;812486.41;5819534.720000001;1
-24204363;812772.8200000001;5830204.345;1
-5210341;799590.035;5816632.234999999;1
-223162197#0;795444.345;5817345.91;2
-223162197#1;795295.9450000001;5817286.195;1
529791047#2;793922.65;5824983.73;1
529791047#0;793916.235;5825045.365;1
4605298#0;793975.75;5831613.795;1
-4796786#1;789974.385;5834817.605;1
-4796786#0;789949.405;5834898.050000001;1
-180239842;807017.735;5818145.505000001;2
-151742472#1;805694.41;5817274.9399999995;1
-432427267#2;805230.8;5829105.74;1
-4582011;793944.29;5820314.72;1
-333626112#7;790330.55;5833643.195;1
-1125735293;794299.31;5822751.15;1
