link;x;y;drtVehicles
-4685952#2;802529.3400000001;5826195.335000001;5
-310177222#2;799500.71;5827888.0600000005;1
-4446720#0;791570.7350000001;5828146.3100000005;1
-527065428#0;796671.66;5824306.699999999;2
-1101200914#1;791802.55;5828289.675;1
-66514471#2;800144.98;5825798.904999999;1
-4782519;800719.895;5827298.25;1
627460043#0;793320.575;5826869.625;1
1108013699;800661.37;5828296.0;2
1124564944#0;799732.1799999999;5827529.220000001;1
-188866873#2;801373.0249999999;5826107.255;1
-66514425;800680.685;5826399.27;1
-27989797#0;801512.24;5824937.9399999995;1
-4410152;795886.55;5828390.720000001;1
-4631543;799651.74;5830404.140000001;4
-4615065#2;800495.12;5829397.1;1
-129285627#4;802543.045;5827028.63;1
53365275#0;801916.585;5829015.785;1
4591809;797881.865;5823868.125;7
-1083535037;801799.0700000001;5828408.925;1
-129285627#1;802437.47;5827063.165;1
-671026861#1;800173.56;5829004.279999999;2
4402681#0;793020.9450000001;5825563.355;3
-1056629317;792632.65;5826268.07;2
520627744#4;793409.745;5824694.46;1
-4383283#0;796902.3;5828795.720000001;1
-1101009908;794338.335;5828257.470000001;1
-4535206#1;794256.105;5823701.73;2
-26138864;801679.51;5828097.01;2
-42245336#0;793923.85;5827573.04;1
-881132961#3;800938.565;5823856.6850000005;1
520627744#0;793278.405;5824604.92;1
-881921237#2;797735.97;5829250.68;2
508614988#1;795623.06;5823930.595;5
-16806095#1;799785.13;5825759.13;1
109804590#1;801042.135;5829304.84;1
-4583362;794615.76;5823994.87;2
508614988#7;795741.5449999999;5824038.71;1
329869880#0;798416.37;5825256.465;1
-172920329#2;798045.62;5829973.475;1
141864327#0;792668.31;5825459.074999999;2
-4612752#0;799040.69;5825825.35;2
288762497#0;801910.47;5829023.395;1
-1024034686#0;799005.515;5828645.5600000005;4
-4610608;798640.8200000001;5827367.055;2
-320261155;801750.77;5826933.515000001;4
-1110388548#4;795917.0349999999;5826040.285;1
4615457#0;801566.19;5828837.615;1
-4592757#1;796999.245;5828881.74;1
-1101064701;792083.39;5828543.205;1
-881132958;800568.3;5823762.279999999;1
-728132451;797301.51;5830466.635;6
-25042806;797524.395;5826662.585000001;3
460217105#0;802013.9550000001;5828149.035;3
-375991062#6;795182.085;5828919.285;1
25185004#0;793290.935;5826843.605;2
52578335#0;793075.2050000001;5826936.005;1
4407756#0;795823.1100000001;5828161.285;1
-257430450;794761.4550000001;5827652.390000001;3
34059286#0;797976.185;5825495.984999999;4
465382940#0;797227.225;5829115.16;1
13863285;796043.52;5824055.34;1
-4782546;801517.74;5824861.075;1
-4782547;801533.51;5824797.155;2
172536702#0;793534.3300000001;5828513.415;2
-1094233981;800781.095;5830017.380000001;2
139350149#0;800566.435;5825707.665;1
146693475;803320.825;5827361.07;1
-266920620;801425.0;5823687.54;1
-4409138;793600.36;5827319.5600000005;1
-1097482025;802342.26;5826834.955;3
-155594913;800713.3;5822289.83;1
777325761;801353.185;5823306.16;2
-919741394;793931.5249999999;5827291.895;1
-155397519;795844.835;5824322.84;2
-1101009910;794447.155;5828185.115;1
-1101009911;794364.845;5828107.53;2
-1103300964#0;798672.9199999999;5828610.46;2
28658321#0;791122.6950000001;5827439.055;3
-25999940#0;795411.245;5826441.17;5
-1057115019;799519.6950000001;5826202.385;1
-257432924#0;795646.7150000001;5827829.09;4
37911426#0;797746.605;5824477.5;1
