Stop ID,Link ID,X,Y
47668,47668,4589268.592674743,5818384.666296298
84934,84934,4593064.294007006,5818415.929633611
10572,10572,4593120.9987307815,5822393.931870166
90170,90170,4598238.679434567,5820056.695104793
110503,110503,4598615.650341724,5822438.250720531
29216,29216,4595389.403404284,5821620.965614032
104572,104572,4595518.581167449,5822859.337039715
11595,11595,4596988.755934447,5823956.981750965
49736,49736,4588684.254986624,5820981.287608938
79620,79620,4593327.445387826,5820441.813965471
7647,7647,4590351.756580099,5818358.618408051
82829,82829,4591312.976007215,5817719.782467414
11456,11456,4593351.991108093,5820315.811283006
63014,63014,4596673.23546291,5816931.244313864
79205,79205,4588489.387949013,5821703.206814115
5539,5539,4591280.178713393,5823181.750916493
pt_39897,pt_39897,4598813.30359833,5821288.321546752
121394,121394,4589029.772962002,5818117.500762176
135681,135681,4599053.540360193,5822098.657693068
155226,155226,4594526.709321051,5821201.211574324
50978,50978,4598665.244276667,5822328.703335531
94085,94085,4596180.763587975,5822460.2234976385
39722,39722,4595679.041424476,5817890.145048084
39944,39944,4595539.778197147,5819044.328444794
pt_5737,pt_5737,4594281.27392066,5818338.300925607
29359,29359,4595028.251794458,5820206.995207589
89372,89372,4587056.762889385,5820101.862303812
11258,11258,4594213.08567967,5823979.6960101845
127131,127131,4592967.398972521,5822093.697001982
91884,91884,4593755.521982141,5816941.950004335
86632,86632,4598228.742868066,5819653.677302931
22110,22110,4595588.3310612,5823170.488159846
pt_43700,pt_43700,4588783.196391498,5819974.585870486
117777,117777,4599569.486992626,5820734.004086882
11063,11063,4588226.513647999,5821415.194479546
123124,123124,4595025.463970097,5824059.480315475
127136,127136,4589733.597334619,5818500.401656118
86550,86550,4596447.075718031,5819392.151027379
31049,31049,4597018.429689378,5818094.691127672
22689,22689,4588156.043851693,5820819.0511056585
116003,116003,4598375.9960511625,5818308.396916957
41512,41512,4589320.92929887,5820041.72684752
pt_39825,pt_39825,4595206.251449527,5822776.309717834
12994,12994,4596907.739316111,5816447.143866844
118654,118654,4597554.699217373,5821143.801354652
81480,81480,4596805.129548937,5818441.689441007
148804,148804,4593102.40604595,5817759.573837714
30116,30116,4595839.575192478,5820651.997789803
1144,1144,4600003.258784064,5820762.177300587
156211,156211,4591759.428444099,5818092.0847812705
138815,138815,4596910.605703847,5818137.67549115
147197,147197,4589634.053197851,5821503.858361211
33845,33845,4598044.642226269,5823232.079034843
70555,70555,4596768.211692402,5822708.080716026
pt_799,pt_799,4589391.24665518,5818261.267232038
160443,160443,4599043.721493851,5819863.872045097
23206,23206,4588752.627728229,5820449.277562694
2972,2972,4593850.941624862,5822978.497889763
139018,139018,4589299.685470374,5819256.9398770435
58808,58808,4592119.694316875,5823327.971772823
pt_5574,pt_5574,4592543.271234369,5822105.306223259
81087,81087,4598312.037427784,5819059.4774824595
115736,115736,4593570.9488601675,5820627.40988498
141154,141154,4594071.263077183,5821918.495257396
30253,30253,4599284.183905821,5819574.709687226
99703,99703,4593075.692185259,5821800.269693517
146771,146771,4596045.657166614,5820782.668633806
10589,10589,4594068.765012369,5818718.01866448
139852,139852,4597401.647971872,5820806.242499965
22783,22783,4589848.135182425,5820829.5928592635
139247,139247,4591991.292001683,5823216.409707732
91915,91915,4592379.129705852,5818136.211559265
pt_43148,pt_43148,4591331.272777891,5818961.271027626
38358,38358,4592475.024064318,5819459.584425709
40250,40250,4592730.691960136,5817584.3169543985
46574,46574,4595946.442065285,5819099.225979324
75900,75900,4596561.706415373,5823904.287478949
30862,30862,4598121.604581811,5822149.473071201
pt_40485,pt_40485,4596910.272004162,5818059.249918642
25976,25976,4591890.891489808,5821150.6153881615
38647,38647,4592650.799414668,5818350.581518386
84721,84721,4591087.130589178,5818311.070583486
29632,29632,4594231.42113894,5819586.039390992
114757,114757,4592269.823388407,5817008.20581008
119991,119991,4593917.235109609,5819988.56575754
95020,95020,4596657.458918358,5820057.727671854
pt_40280,pt_40280,4592958.2771009635,5818677.266026479
65016,65016,4599455.129898692,5821761.760501886
151371,151371,4595857.622358609,5823634.086249505
pt_5758,pt_5758,4596127.280948632,5821774.339945791
140735,140735,4595150.860160309,5820897.361808155
96156,96156,4588699.36114675,5821319.2759575285
36411,36411,4598465.695707818,5822240.292526695
pt_43300,pt_43300,4594881.2572565125,5818481.321209242
122938,122938,4597070.560802498,5818414.574226589
pt_38989,pt_38989,4594621.260484958,5819202.26560712
61251,61251,4593541.782463119,5816747.746426928
24702,24702,4598296.738245518,5817207.99886278
66804,66804,4589419.477049365,5822222.735153096
103678,103678,4589557.003039108,5819944.196747711
97550,97550,4592914.136841557,5818886.78160995
138778,138778,4591264.9344553165,5817781.51067962
23209,23209,4588752.627728229,5820449.277562694
