name	x	y	linkId
Ostkreuz	4600000.480290992	5819700.802393827	85582
Suedkreuz	4592743.290166003	5816823.460886553	144360
Westkreuz/ZOB	4587018.550633609	5820077.051308585	59825
Gesundbrunnen	4594441.531831297	5824985.689612756	18796
Wedding	4592922.882076316	5824084.361963952	63685
Landsberger	4598961.639137452	5822763.996348945	147644
Neukoelln	4598122.504532557	5816022.913872137	131523
Heidelberger	4589140.6734212255	5817067.241862115	79212
Jungfernheide	4588114.078276766	5822702.604874686	66841
Schoenhauser	4596224.755560316	5824965.459438537	52866	
Prenzlauer	4597027.523012196	5824666.380226734	147541
Greifswalder	4597824.484647266	5824121.987334944	34115
Storkower	4599371.508500537	5822324.183550394	36983
Frankfurter	4600285.672450088	5821043.030039501	3501
Treptower	4599208.352993022	5818659.97753196	122012
Sonnenallee	4599099.079887119	5816525.18299938	120486
Hermann	4597334.219873768	5815855.3130829865	134367
Tempelhof	4594217.962937871	5816029.29720351	85286
Schoeneberg	4592120.82037306	5817106.7719565695	77116
Innsbrucker	4591307.485161504	5816975.928260568	23130
Bundesplatz	4590450.252520066	5816912.373348798	87243
Hohenzollerndamm	4588367.919164285	5817877.268670943	53378
Halensee	4587799.049568348	5818730.644081692	98925
Westkreuz	4587216.584412754	5819462.496298028	47623
Westend	4587130.053225656	5821423.035216866	68014
Beusselstrasse	4590006.671389499	5823306.078726921	15415
Westhafen	4591283	5823641	13360
