name	x	y	linkId
S Lichterfelde West (Berlin)	4588100.27690725	5813041.19366402	60621
S Wannsee Bhf (Berlin)	4580380.37727269	5810427.38091679	144733
S Bernau-Friedenstal	4605946.28859416	5838424.43693385	5856
S Eichborndamm (Berlin)	4589286.25272238	5827981.37300655	58677
S Gehrenseestr. (Berlin)	4603577.30325025	5825835.33846104	4362
S+U Lichtenberg Bhf (Berlin)	4601705.0869316	5820705.16080788	85293
S Attilastr. (Berlin)	4592650.3039048	5813546.24964586	68103
S Bernau Bhf	4607773.03343546	5839250.30746861	77991
S Oberspree (Berlin)	4604691.36615774	5814341.33191991	132000
S Karlshorst (Berlin)	4603766.74932993	5817532.30090196	43377
S Stresow (Berlin)	4582153.09164875	5822783.75728479	127962
S Friedrichshagen (Berlin)	4610594.22754617	5815018.45538487	53598
S Mahlow	4596075.35311765	5803913.18390465	117535
S Wildau	4611492.41160453	5799678.17870074	124943
S Spandau Bhf (Berlin)	4581340.06523298	5823070.37837125	58509
S Neuenhagen (b Berlin)	4615496.80065043	5822192.01639047	49600
S Friedrichsfelde Ost (Berlin)	4603230.29691735	5821129.86790605	30332
S Mahlsdorf Bhf (Berlin)	4609453.1079233	5821098.9677476	34715
S Alt-Reinickendorf (Berlin)	4591601.21612245	5828071.36402283	118646
S Potsdam Hauptbahnhof	4572723.75052342	5807010.04650848	158395
S Strausberg Nord	4629464.40880972	5830344.4701043	93726
S+U Wittenau (Berlin)	4590596.20737707	5830103.29949233	100163
S Mehrower Allee (Berlin)	4605521.34209076	5826108.39962595	5465
S Poelchaustr. (Berlin)	4604329.29108034	5823515.29317208	76923
S Waßmannsdorf	4599780.32019175	5804890.50463198	128928
S Schlachtensee (Berlin)	4582657.2033004	5812534.18641998	52309
S Köllnische Heide (Berlin)	4599831.33137685	5816121.27353365	77880
S Lichterfelde Ost Bhf (Berlin)	4590483.06085402	5811533.30998194	120075
S Erkner Bhf	4619280.09907017	5811936.48833159	79433
S Lankwitz (Berlin)	4591415.28738157	5812603.28614726	31256
S Olympiastadion (Berlin)	4584365.22130465	5820502.32241351	21589
S Priesterweg (Berlin)	4592275.28862615	5814868.31960971	149011
S+U Pankow (Berlin)	4595863.25483973	5826963.31489679	30477
S+U Wuhletal (Berlin)	4606996.92569591	5821120.7844083	109433
S Röntgental	4602604.01205345	5836221.41528234	53217
S Birkenwerder Bhf	4587247.81776367	5840313.13499745	105763
S Messe Süd (Berlin)	4586381.24277225	5819161.24352709	4508
S Grünau (Berlin)	4607204.35353786	5809992.32649683	38263
S Biesdorf (Berlin)	4605672.30973343	5821129.34877837	152342
S Südende (Berlin)	4592164.25740772	5813715.31534259	125572
S Rummelsburg (Berlin)	4600517.31082224	5819702.32672	15975
S Grunewald (Berlin)	4585823.25038699	5818028.28077188	101652
S Blankenburg (Berlin)	4597891.29765032	5829651.40153966	149341
S Schöneweide Bhf (Berlin)	4602718.34210856	5814561.61703763	10299
S Oranienburg Bhf	4584461.49325948	5847549.81695397	43852
S Wartenberg (Berlin)	4602084.27829006	5827755.36370121	85344
S Marienfelde (Berlin)	4593641.32186862	5810951.29039218	160580
S Fredersdorf	4619622.69199616	5822924.0052388	157221
S Waidmannslust (Berlin)	4589563.20765663	5831244.32733202	128132
S Schönholz (Berlin)	4593681.25533555	5827435.31707229	101285
S Hoppegarten	4613718.63476718	5821840.61911834	147933
S Betriebsbahnhof Rummelsburg (Berlin)	4601855.80970068	5818882.3817238	132518
S Wilhelmsruh (Berlin)	4592488.1776319	5828468.733026	130190
S Mexikoplatz (Berlin)	4583891.23295571	5812261.2481195	122327
S Lichtenrade (Berlin)	4595087.49862565	5807161.81342843	94875
S+U Rathaus Spandau (Berlin)	4581517.80196652	5823181.74027672	27674
S Eichwalde	4610096.74171683	5805513.79529375	99951
S Wuhlheide (Berlin)	4605675.32427739	5816231.30386683	157347
S Hermsdorf (Berlin)	4588609.19855226	5832490.39929736	106142
S Nikolassee (Berlin)	4581266.23565676	5811554.26447245	49103
S Botanischer Garten (Berlin)	4588901.2639956	5813505.28593573	121181
S Altglienicke (Berlin)	4606235.33548739	5809423.29772979	155717
S Teltow Stadt	4586999.45147954	5807838.29780253	132789
S Lehnitz	4585420.96488263	5846149.83897681	149696
S Zeuthen	4610968.66234814	5803022.20425948	79
S Wilhelmshagen (Berlin)	4617145.42428318	5813115.66328995	114023
S Marzahn (Berlin)	4604683.29144553	5824471.38822054	76914
S Tegel (Berlin)	4587441.21242623	5829201.36717154	19614
S Kaulsdorf (Berlin)	4607982.3144942	5821075.37232631	79285
S Zehlendorf (Berlin)	4585750.23111053	5811630.28126389	134872
S Köpenick (Berlin)	4607468.38723129	5815116.28340736	140096
S Spindlersfeld (Berlin)	4606354.38778222	5813672.2917294	3211
S Ahrensfelde Bhf (Berlin)	4606239.59169555	5827635.3284185	76895
S Babelsberg	4574622.83904128	5807023.75647906	38097
S Sundgauer Str. (Berlin)	4586711.27083467	5812201.19920474	65237
S Pichelsberg (Berlin)	4583494.58930472	5820352.96928313	1339
S+U Rathaus Steglitz (Berlin)	4589981.28934458	5814361.29162181	50104
S Karow Bhf (Berlin)	4599672.28830554	5832435.3267818	17573
S Raoul-Wallenberg-Str. (Berlin)	4605131.33676917	5825313.31645326	76899
S Hirschgarten (Berlin)	4608960.22789908	5815056.08222811	134929
S Borgsdorf	4586385.42538849	5843219.84835545	31230
S Mühlenbeck-Mönchmühle	4594045.30988158	5836591.26359041	129271
S Feuerbachstr. (Berlin)	4590661.23513543	5815321.23140136	18317
S Heiligensee (Berlin)	4583304.2019035	5833174.3056202	36190
S Hohen Neuendorf	4587181.11819893	5838172.69706398	156280
S Adlershof (Berlin)	4604874.32146272	5812434.26206783	13192
